"#","Application.Term","GPA.2145","GPA.2155","GPA.2165","GPA.2175","GPA.2185","cgpa","Current.Program","Total","Total.English","Math.Placement.Exam.Score","Physics.Placement.Score","SAT.Reading","SAT.Writing","SAT.Math","SAT.Total","Transcripts","Description/Qualification.(G12,.IGCSE,.AS,.A.Level,.Uni,.etc)","Curriculum","English","EnglishGrade","math","MathGrade","Physics","PhysicsGrade","Grit_1","Grit_2","Grit_3","Grit_4","Grit_5","Grit_6","Grit_7","Grit_8","Grit_9","Grit_10","Grit_11","Grit_12","SelfControl_1","SelfControl_2","SelfControl_3","SelfControl_4","SelfControl_5","SelfControl_6","SelfControl_7","SelfControl_8","SelfControl_9","SelfControl_10"
178,2145,2.33,2.34,2.42,1.99,1.96,1.96,"Bachelor of Science in Computing Security",7,"580",7,7,NA,NA,NA,NA,"IGCSE","G12","American","B",0,"C",0,"D",0,"Very much like me","Somewhat like me","Not much like me","Mostly like me","Somewhat like me","Very much like me","Not much like me","Not much like me","Mostly like me","Somewhat like me","Mostly like me","Very much like me","Mostly like me","Very much like me","Mostly like me","Not much like me","Not much like me","Not much like me","Not much like me","Not much like me","Not like me at all","Not much like me"
179,2161,0,0,3.52,3.66,0,3.66,"Bachelor of Science in Electrical Engineering",7,"88",20,11,420,440,620,1480,"G10-G11, G12","G10-G11, G12","MOE","98",0,"99",0,"95",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,2171,0,0,0,2.96,2.97,2.97,"Bachelor of Science in Business Administration- International Business",7.5,"7.5",21,16,NA,NA,NA,NA,"Y","Y","British","A",0,"A",0,"A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,2161,0,0,3.77,3.75,0,3.75,"Bachelor of Science in Mechanical Engineering",8,"620",18,8,NA,NA,NA,NA,"G10, G11, Pearson","G10, G11, Pearson","British","C",0,"A+",0,"A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,2141,2.99,3.02,2.84,2.98,3.04,3.04,"Bachelor of Science in Mechanical Engineering",6.5,"567",16,12,NA,NA,NA,NA,"GCSE&IGCSE&Pred AS Level","AS Level, Equivalency","British","A",0,"A",0,"A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,2161,0,0,3.59,3.54,0,3.54,"Bachelor of Science in Mechanical Engineering",7,"573",20,13,NA,NA,NA,NA,"Y","Y","American","98.7",0,"98.3",0,"96.3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,2151,0,1.98,2.47,2.42,2.49,2.49,"Bachelor of Science in Computing Security",5,"61",12,21,NA,NA,NA,NA,"G10-11, G12-FINAL","G12","American","65",0,"79",0,"83",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,2171,0,0,0,3.95,3.97,3.97,"Bachelor of Science in Mechanical Engineering",7.5,"7.5",21,18,NA,NA,NA,NA,"Cambridge","Y","British","A",0,"A",0,"A",0,"Somewhat like me","Not much like me","Not much like me","Mostly like me","Not much like me","Very much like me","Not much like me","Mostly like me","Very much like me","Not much like me","Not much like me","Very much like me","Not much like me","Not much like me","Not much like me","Mostly like me","Mostly like me","Mostly like me","Not much like me","Not much like me","Not much like me","Not much like me"
186,2161,0,0,2,2.52,0,2.52,"Bachelor of Science in Mechanical Engineering",7.5,"603",13,8,NA,NA,NA,NA,"IGCSE, Uni","IGCSE, Uni","British","C",0,"A",0,"B",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,2151,0,3.47,3.18,0,3.07,3.07,"Bachelor of Science in Mechanical Engineering",7.5,"7.5",17,13,NA,NA,NA,NA,"G10, G11-Term1","IGCSE","British",NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,2141,2.99,3.16,3.2,3.16,3.21,3.21,"Bachelor of Science in Mechanical Engineering",7,"577",20,17,NA,NA,NA,NA,"IGCSE/A LEVEL","A Level","British","A",0,"A+",0,"A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,2161,0,0,3.97,3.95,3.89,3.89,"Bachelor of Science in Electrical Engineering",7.5,"7.5",24,27,NA,NA,NA,NA,"Y","Y","Indian","96",0,"95",0,"95",0,"Mostly like me","Mostly like me","Not much like me","Not much like me","Not like me at all","Mostly like me","Not much like me","Mostly like me","Mostly like me","Not much like me","Somewhat like me","Mostly like me","Not much like me","Somewhat like me","Somewhat like me","Very much like me","Somewhat like me","Somewhat like me","Mostly like me","Not much like me","Not much like me","Not much like me"
190,2161,0,0,1,1.83,1.92,1.92,"Bachelor of Science in Business Administration- International Business",7.5,"603",12,7,NA,NA,NA,NA,NA,"Y","American","70",0,"72",0,"71",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,2171,0,0,0,1.86,1.59,1.59,"Bachelor of Science in Computing Security",6.5,"6.5",15,15,NA,NA,NA,NA,"Y","Y","British","B",0,"A",0,"A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,2175,0,0,0,2.15,2.39,2.39,"Bachelor of Science in Mechanical Engineering",7.5,"7.5",18,15,NA,NA,NA,NA,"Y","Y","Others","63",2,"67",2,"62",2,"Mostly like me","Not much like me","Somewhat like me","Not much like me","Somewhat like me","Somewhat like me","Mostly like me","Somewhat like me","Very much like me","Somewhat like me","Mostly like me","Very much like me","Mostly like me","Mostly like me","Not like me at all","Somewhat like me","Somewhat like me","Mostly like me","Somewhat like me","Somewhat like me","Not much like me","Not much like me"
193,2161,0,0,1.78,2.1,2.04,2.04,"Bachelor of Science in Computing Security",6,"6/ 443",10,13,NA,NA,NA,NA,"Y","Y","Others","63",2,"63",2,"60",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,2145,2,2.63,2.78,2.69,2.75,2.75,"Bachelor of Science in Computing Security",7.5,"610",5,10,NA,NA,NA,NA,"Y","SS3, NECO","African","84",4,"0",0,"0",0,"Very much like me","Very much like me","Not much like me","Mostly like me","Not like me at all","Mostly like me","Not like me at all","Not much like me","Somewhat like me","Mostly like me","Very much like me","Mostly like me","Mostly like me","Not much like me","Not like me at all","Somewhat like me","Somewhat like me","Very much like me","Not much like me","Not like me at all","Somewhat like me","Not like me at all"
195,2171,0,0,0,4,3.92,3.92,"Bachelor of Science in Mechanical Engineering",8.5,"637",27,24,NA,NA,NA,NA,"Y","Y","Indian","88",0,"75",0,"95",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,2171,0,0,0,3.81,3.77,3.77,"Bachelor of Science in Mechanical Engineering",7.5,"100",24,18,440,450,560,1450,"CBSE","Y","Indian","93",0,"84",0,"94",0,"Very much like me","Mostly like me","Somewhat like me","Very much like me","Somewhat like me","Very much like me","Somewhat like me","Not much like me","Mostly like me","Very much like me","Somewhat like me","Very much like me","Very much like me","Very much like me","Not much like me","Mostly like me","Somewhat like me","Mostly like me","Very much like me","Not much like me","Mostly like me","Somewhat like me"
197,2165,0,0,2,2.17,2.11,2.11,"Bachelor of Science in Industrial Engineering",6.5,"85",22,23,NA,NA,NA,NA,"G10, G11, G12","Y","SABIS","81",0,"62",0,"95",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,2165,0,0,1.92,2.35,2.38,2.38,"Bachelor of Science in Industrial Engineering",6.5,"83",15,9,420,460,540,1420,"G11, G12","Y","SABIS","84",0,"75",0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,2151,0,3.94,3.95,3.95,3.95,3.95,"Bachelor of Science in Mechanical Engineering",8.5,"653",27,19,540,520,660,1720,"G9-11, G12-Predicted","CBSE, HS Diploma, Equivalence","Indian","90",0,"95",0,"95",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,2171,0,0,0,2.86,2.92,2.92,"Bachelor of Science in Mechanical Engineering",7,"7",11,14,NA,NA,NA,NA,"IGCSE","Y","British","A",0,"D",0,"B",0,"Mostly like me","Mostly like me","Mostly like me","Somewhat like me","Mostly like me","Mostly like me","Mostly like me","Not much like me","Somewhat like me","Somewhat like me","Mostly like me","Mostly like me","Somewhat like me","Mostly like me","Very much like me","Not much like me","Not much like me","Not much like me","Mostly like me","Mostly like me","Mostly like me","Mostly like me"
201,2175,0,0,0,2.33,2.37,2.37,"Bachelor of Science in Mechanical Engineering",6.5,"557",9,15,NA,NA,NA,NA,"Y","Y","British","B",0,"C",0,"B",0,"Somewhat like me","Not much like me","Not much like me","Somewhat like me","Somewhat like me","Somewhat like me","Not much like me","Not much like me","Somewhat like me","Not like me at all","Not much like me","Somewhat like me","Not much like me","Not much like me","Not much like me","Not much like me","Somewhat like me","Somewhat like me","Not much like me","Not much like me","Not much like me","Not much like me"
202,2161,0,0,3.15,2.53,0,2.53,"Bachelor of Science in Mechanical Engineering",8.5,"8.5",24,15,NA,NA,NA,NA,"Y","Y","British","A",0,"B",0,"B",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,2161,0,0,2.41,2.37,2.39,2.39,"Bachelor of Science in Electrical Engineering",7,"570",9,13,NA,NA,NA,NA,"GCSE, cambridge","GCSE, cambridge","British","A",0,"B",0,"B",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,2161,0,0,3.07,3.24,3.28,3.28,"Bachelor of Science in Mechanical Engineering",8.5,"643",25,18,NA,NA,NA,NA,"Y","Y","British","A+",0,"A+",0,"A+",0,"Mostly like me","Somewhat like me","Very much like me","Not much like me","Not much like me","Somewhat like me","Not much like me","Mostly like me","Not much like me","Not like me at all","Mostly like me","Somewhat like me","Somewhat like me","Not much like me","Mostly like me","Somewhat like me","Not much like me","Mostly like me","Mostly like me","Somewhat like me","Somewhat like me","Mostly like me"
205,2161,0,0,2.44,2.48,2.55,2.55,"Bachelor of Science in Mechanical Engineering",6.5,"6.5",16,15,NA,NA,NA,NA,"IGCSE","IGCSE","British","B",0,"A+",0,"A+",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,2151,0,3.59,3.39,3.19,3.21,3.21,"Bachelor of Science in Electrical Engineering",7.5,"7.5",17,14,NA,NA,NA,NA,"IGCSE, AS","IGCSE, AS","British","B",0,"A",0,"A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,2171,0,0,0,0.89,0,0.89,"Bachelor of Science in Mechanical Engineering",6.5,"547; 560",12,10,NA,NA,NA,NA,"Y","Y","British","C",0,"C",0,"B",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,2171,0,0,0,3.08,3.29,3.29,"Bachelor of Science in Mechanical Engineering",7.5,"600",18,17,NA,NA,NA,NA,"G10, G11, G12","Y","British","C",0,"B",0,"A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,2171,0,0,0,0,1.93,1.93,"Bachelor of Science in Business Administration- Marketing",6.5,"6.5",15,14,NA,NA,NA,NA,"Y","Y","British","C",0,"A",0,"A+",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,2165,0,0,2.87,2.3,2.31,2.31,"Bachelor of Science in Mechanical Engineering",7,"7",17,15,NA,NA,NA,NA,"G10, G11/ Cambridge","Y","British","66",0,"63",0,"68",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,2161,0,0,2.83,2.97,2.67,2.67,"Bachelor of Science in Electrical Engineering",6.5,"6.5",19,12,NA,NA,NA,NA,"G10/IGCSE","G10/IGCSE","British","A",0,"B",0,"B",0,"Very much like me","Very much like me","Very much like me","Somewhat like me","Very much like me","Mostly like me","Very much like me","Not like me at all","Somewhat like me","Mostly like me","Mostly like me","Mostly like me","Mostly like me","Somewhat like me","Not like me at all","Very much like me","Somewhat like me","Not much like me","Not much like me","Not like me at all","Not much like me","Somewhat like me"
213,2161,0,0,3.1,2.95,3.04,3.04,"Bachelor of Science in Mechanical Engineering",6.5,"84",19,9,490,490,560,1540,"G9, G10, G11,G12","G9, G10, G11,G12","American","A",0,"A",0,"A-",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
