"#","Application.Term","GPA.2145","GPA.2155","GPA.2165","GPA.2175","GPA.2185","cgpa","Current.Program","Total","Total.English","Math.Placement.Exam.Score","Physics.Placement.Score","SAT.Reading","SAT.Writing","SAT.Math","SAT.Total","Transcripts","Description/Qualification.(G12,.IGCSE,.AS,.A.Level,.Uni,.etc)","Curriculum","English","EnglishGrade","math","MathGrade","Physics","PhysicsGrade","Grit_1","Grit_2","Grit_3","Grit_4","Grit_5","Grit_6","Grit_7","Grit_8","Grit_9","Grit_10","Grit_11","Grit_12","SelfControl_1","SelfControl_2","SelfControl_3","SelfControl_4","SelfControl_5","SelfControl_6","SelfControl_7","SelfControl_8","SelfControl_9","SelfControl_10"
129,2151,0,2.99,3.04,3,2.81,2.81,"Bachelor of Science in Electrical Engineering",7,"91",26,15,420,460,600,1480,"G9-11, 12-Term1","HS Diploma","SABIS","82",0,"74",0,"85",0,"Mostly like me","Mostly like me","Mostly like me","Mostly like me","Not much like me","Somewhat like me","Somewhat like me","Somewhat like me","Very much like me","Very much like me","Mostly like me","Mostly like me","Not much like me","Not much like me","Not much like me","Somewhat like me","Somewhat like me","Very much like me","Mostly like me","Not much like me","Not much like me","Not like me at all"
130,2161,0,0,3.24,2.9,0,2.9,"Bachelor of Science in Electrical Engineering",7,"91",28,14,590,650,710,1950,"G10, G11, G12","G10, G11, G12","SABIS","86",0,"70",0,"70",0,"Mostly like me","Not much like me","Not much like me","Not much like me","Not like me at all","Somewhat like me","Mostly like me","Very much like me","Mostly like me","Mostly like me","Not much like me","Mostly like me","Not much like me","Not like me at all","Not like me at all","Somewhat like me","Not much like me","Somewhat like me","Not much like me","Not like me at all","Mostly like me","Not like me at all"
131,2151,0,3.22,2.93,2.91,3.01,3.01,"Bachelor of Science in Mechanical Engineering",6.5,"537/553",27,14,NA,NA,NA,NA,"IGCSE, G9-11, 12 (Term1)","G12, HS Diploma","SABIS","B-",0,"B-",0,"B+",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,2151,0,2.16,2.04,2.05,0,2.05,"Bachelor of Science in Mechanical Engineering",6.5,"6.5",19,16,NA,NA,NA,NA,"G9-12","G12","SABIS","B",0,"B-",0,"D",0,"Mostly like me","Somewhat like me","Very much like me","Mostly like me","Mostly like me","Not much like me","Somewhat like me","Mostly like me","Mostly like me","Somewhat like me","Somewhat like me","Very much like me","Mostly like me","Somewhat like me","Somewhat like me","Mostly like me","Somewhat like me","Somewhat like me","Mostly like me","Not much like me","Somewhat like me","Not much like me"
133,2161,0,0,3.29,3.12,3.02,3.02,"Bachelor of Science in Mechanical Engineering",7.5,"101",25,19,570,520,610,1700,"G12","G12","SABIS","A-",0,"C",0,"B+",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,2151,0,2.67,2.25,2.36,2.29,2.29,"Bachelor of Science in Business Administration- Management",6.5,"82",13,13,NA,NA,NA,NA,"G9-12","G12","SABIS","A-",0,"C",0,"0",0,"Mostly like me","Mostly like me","Somewhat like me","Not much like me","Somewhat like me","Not much like me","Mostly like me","Somewhat like me","Not much like me","Not much like me","Mostly like me","Somewhat like me","Very much like me","Mostly like me","Not much like me","Not much like me","Not much like me","Not much like me","Mostly like me","Mostly like me","Not much like me","Not like me at all"
135,2145,3.24,3.54,3.02,2.94,2.89,2.89,"Bachelor of Science in Mechanical Engineering",8,"633",26,20,NA,NA,NA,NA,"Y","G12","SABIS","83",0,"75",0,"76",0,"Somewhat like me","Very much like me","Somewhat like me","Not much like me","Very much like me","Not like me at all","Somewhat like me","Not much like me","Not much like me","Not much like me","Somewhat like me","Mostly like me","Very much like me","Somewhat like me","Very much like me","Somewhat like me","Not much like me","Not much like me","Mostly like me","Very much like me","Not much like me","Not like me at all"
136,2161,0,0,2.18,1.94,2.05,2.05,"Bachelor of Science in Microelectronic Engineering",7,"7",9,8,NA,NA,NA,NA,"G12","G12","MOE","96",0,"91",0,"92",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,2171,0,0,0,3.96,3.98,3.98,"Bachelor of Science in Mechanical Engineering",8,"8",25,20,750,750,760,2260,"G10, G11, G12","Y","British","90",0,"93",0,"97",0,"Mostly like me","Somewhat like me","Mostly like me","Somewhat like me","Not much like me","Mostly like me","Mostly like me","Mostly like me","Somewhat like me","Somewhat like me","Not much like me","Somewhat like me","Not much like me","Mostly like me","Not like me at all","Very much like me","Mostly like me","Mostly like me","Mostly like me","Somewhat like me","Somewhat like me","Not much like me"
138,2155,0,0,3.84,3.91,0,3.91,"Bachelor of Science in Mechanical Engineering",8.5,"650",25,22,560,610,670,1840,"IGCSE&AS/G10-12","IGCSE&AS/G10-12","African","90",4,"85",4,"87",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
